"","Scenario","Year","Run","Egg","Fry","Parr","PreSmoltHeadwaters","PreSmoltValley","LGDSmolt","OceanAdult1","OceanAdult2","LGDAdult","PassedAdult","TotalSpawner","LGDAdult1","LGDAdult2","LGDAdult3","TrapAdult","Spawner","Brood","H1_Egg","H1_Fry","H1_Parr","H1_PreSmoltHeadwaters","H1_PreSmoltValley","H1_HatchRelease","H1_LGDSmolt","H1_OceanAdult1","H1_OceanAdult2","H1_LGDAdult","H1_PassedAdult","H1_TotalSpawner","H1_LGDAdult1","H1_LGDAdult2","H1_LGDAdult3","H1_TrapAdult","H1_Spawner","H1_Brood","TotalBrood","TotalTrap"
"1","CC",1,1,0,1e+05,23277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CC",2,1,0,0,0,3645,19632,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CC",3,1,0,0,0,0,0,0,55,0,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"4","CC",4,1,0,0,0,0,0,0,0,0,17,0,0,0,17,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
"5","CC",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,1249,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CC",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580,16146,21,0,2,0,0,2,0,0,1,0,1,1,1
"7","CC",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,46,0,0,43,3,0,40,0,40,40,40
"8","CC",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,983,0,4,47,0,0,0,47,0,46,0,46,46,46
"9","CC",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58800,53855,61,0,8,0,0,6,0,2,5,0,5,5,5
"10","CC",10,1,5745,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,67620,42353,3039,0,116,4,0,102,14,0,106,3,102,102,106
"11","CC",11,1,944862,5745,2057,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,7350,5703,608,58,680,530,0,113,567,0,632,513,102,102,632
"12","CC",12,1,114394.5,944861,76514,321,1736,86,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,149940,94021,43,10,174,61,0,22,122,30,163,60,102,102,163
"13","CC",13,1,261525,114394,43804,37984,38530,6182,2,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,149940,115980,3228,0,249,146,0,236,9,4,248,138,102,102,248
"14","CC",14,1,1801659,261524,54699,10553,33251,9282,205,0,33,19.8,1015,33,0,0,30,19,10.2,0,0,0,0,0,149940,120411,3521,58,1104,1008.2,0,369,735,0,1100,996,91.8,102,1130
"15","CC",15,1,1411843,1801658,120332,23186,31513,9547,300,3,141,127.8,782,75,66,0,138,124,10.2,0,0,0,0,0,149940,122077,1131,46,833,709.2,0,277,524,32,801,658,91.8,102,939
"16","CC",16,1,616259.5,1411842,96725,31445,88887,11775,136,4,124,77.6,330,42,81,1,98,77,20.4,0,0,0,0,0,149940,139428,2314,15,360,261.4,0,86,248,26,343,253,81.6,102,441
"17","CC",17,1,1450916.5,616259,64210,13215,83510,24330,643,3,129,91.8,805,93,34,2,102,89,10.2,0,0,0,0,0,149940,117956,2956,31,974,756.2,0,375,591,8,848,716,91.8,102,950
"18","CC",18,1,1484787,1450916,76004,17747,46463,10202,900,12,225,196.8,825,62,162,1,207,192,10.2,0,0,0,0,0,149940,115817,6882,51,767,643.2,0,99,653,15,735,633,91.8,102,942
"19","CC",19,1,3107222,1484786,84847,7969,68035,16980,476,12,220,137.8,1857,31,183,6,148,132,10.2,0,0,0,0,0,149940,117707,3366,118,2115,1737.2,0,189,1899,27,1829,1725,91.8,102,1977
"20","CC",20,1,2535519.5,3107221,85335,36831,48016,5691,225,11,191,173.8,1476,49,135,7,184,168,10.2,0,0,0,0,0,149940,62886,2160,44,1429,1316.2,0,389,971,69,1408,1308,91.8,102,1592
"21","CC",21,1,1048891,2535519,85703,6937,78398,13566,55,4,63,46.8,572,8,49,6,57,45,10.2,0,0,0,0,0,149940,112840,188,35,693,578.2,0,218,452,23,670,527,91.8,102,727
"22","CC",22,1,504684.5,1048890,41987,23571,62132,22204,212,1,63,40.6,269,46,15,2,61,40,20.4,0,0,0,0,0,149940,83918,9133,3,394,234.4,0,331,44,19,316,229,81.6,102,377
"23","CC",23,1,2798839,504684,73837,13547,28440,5222,691,4,136,113.8,1649,69,67,0,124,112,10.2,0,0,0,0,0,149940,83714,4048,151,2124,1625.2,0,276,1847,1,1717,1537,91.8,102,1841
"24","CC",24,1,1747256.5,2798838,109038,22778,51059,12059,358,11,143,129.8,982,6,135,2,140,124,10.2,0,0,0,0,0,149940,71727,2229,86,1066,945.2,0,122,861,83,1037,858,91.8,102,1177
"25","CC",25,1,1083947,1747256,95360,9670,99368,14081,245,6,124,112.8,592,26,92,6,123,110,10.2,0,0,0,0,0,149940,100982,2171,37,664,523.2,0,155,465,44,615,482,91.8,102,738
"26","CC",26,1,1506749.5,1083946,83431,29492,65868,10225,110,5,94,79.8,838,28,63,3,90,77,10.2,0,0,0,0,0,149940,121900,5864,48,923,771.2,0,534,368,21,863,761,91.8,102,953
"27","CC",27,1,2638247,1506749,75932,20229,63202,5143,342,2,36,21.8,1543,11,22,3,32,21,10.2,0,0,0,0,0,149940,116984,4172,84,1649,1539.2,0,273,1350,26,1631,1522,91.8,102,1663
"28","CC",28,1,1839434.5,2638246,88559,26284,49648,11253,294,7,104,83.8,1038,12,91,1,94,79,10.2,0,0,0,0,0,149940,123332,14968,65,1111,969.2,0,200,863,48,1061,959,91.8,102,1155
"29","CC",29,1,6413556.5,1839434,82709,18069,70490,11546,589,4,77,47.8,4531,9,64,4,58,45,10.2,0,0,0,0,0,149940,126965,6115,240,4767,4655.2,0,323,4410,34,4747,4486,91.8,102,4805
"30","CC",30,1,3372847,6413556,124345,21512,61197,6844,306,9,207,182.8,2041,48,157,2,193,175,10.2,0,0,0,0,0,149940,124755,1259,83,2068,1879.2,0,557,1368,143,1971,1866,91.8,102,2164
