"","Scenario","Year","EggMin","Egg25","EggMed","Egg75","EggMax","ParrMin","Parr25","ParrMed","Parr75","ParrMax","LGDSmoltMin","LGDSmolt25","LGDSmoltMed","LGDSmolt75","LGDSmoltMax","H1_LGDSmoltMin","H1_LGDSmolt25","H1_LGDSmoltMed","H1_LGDSmolt75","H1_LGDSmoltMax","TrapAdultMin","TrapAdult25","TrapAdultMed","TrapAdult75","TrapAdultMax","H1_TrapAdultMin","H1_TrapAdult25","H1_TrapAdultMed","H1_TrapAdult75","H1_TrapAdultMax","TotalTrapMin","TotalTrap25","TotalTrapMed","TotalTrap75","TotalTrapMax","BroodMin","Brood25","BroodMed","Brood75","BroodMax","H1_BroodMin","H1_Brood25","H1_BroodMed","H1_Brood75","H1_BroodMax","SpawnerMin","Spawner25","SpawnerMed","Spawner75","SpawnerMax","H1_SpawnerMin","H1_Spawner25","H1_SpawnerMed","H1_Spawner75","H1_SpawnerMax","TotalSpawnerMin","TotalSpawner25","TotalSpawnerMed","TotalSpawner75","TotalSpawnerMax"
"1","CC",1,0,0,0,0,0,17095,25047.25,30095.5,36088.5,50115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CC",2,0,0,0,0,0,0,0,0,0,0,1863,2592.75,3059.5,4722.75,5906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CC",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,3.5,6.25,17,0,0,0,0,0,1,1.75,3.5,6.25,17,1,1.75,3.5,6.25,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CC",4,0,0,0,14356.75,150398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.75,33.5,49.5,125,0,0,0,0,0,4,14.75,33.5,49.5,125,4,14.75,33.5,40.8,40.8,4,0,0,0,0,0,0,0,7.5,79,0,0,0,0,0,0,0,0,7.5,79
"5","CC",5,0,0,0,0,0,0,0,0,2517,37035,0,0,0,0,0,871,1321,3379.5,7264.75,19018,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CC",6,0,0,0,0,0,0,0,0,0,0,0,0,0,512,6812,2999,13780.75,32141.5,37948,50226,0,0,0,0,0,0,0,5,14,62,0,0,5,14,62,0,0,0,0,0,0,0,5,14,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CC",7,0,0,0,33426.25,289616.5,0,0,0,0,0,0,0,0,0,0,0,0,0,981.25,3836,0,0,0,0,12,12,36.75,65,120.75,247,12,36.75,65,120.75,259,0,0,0,0,12,0,36.75,65,99,102,0,0,0,0,0,0,0,0,17.5,153,0,0,0,17.5,153
"8","CC",8,0,0,14349.25,147084,598039.5,0,0,0,11211,81308,0,0,0,0,0,0,0,4486.5,10624.75,88667,0,0,0,0.5,44,9,33,99.5,181.5,390,9,33,103.5,181.5,434,0,0,0,0.5,20.4,0,33,84.3,102,102,0,0,0,0,23,0,0,7.5,77.25,297,0,0,7.5,77.25,320
"9","CC",9,0,0,0,0,412452,0,0,6519.5,34075.25,50311,0,0,0,1329.5,8052,11659,39877.75,58246,85232.75,115060,0,0,0,0,1,0,4.5,12,58.25,338,0,4.5,12,58.25,338,0,0,0,0,1,0,4.5,12,58.25,102,0,0,0,0,0,0,0,0,0,219,0,0,0,0,219
"10","CC",10,0,0,4787.5,177254.125,2273618.5,0,0,0,0,59420,0,0,768.5,4228,9116,7033,26923.5,67481,103844,137987,0,0,0,2.75,12,15,79.25,105.5,202.75,1435,15,80,105.5,205.5,1440,0,0,0,2.75,12,0,79.25,96.5,102,102,0,0,0,0,0,0,0,2.5,93.25,1308,0,0,2.5,93.25,1308
